symbol_index,bit
0,1
1,0
2,1
3,0
4,1
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,0
16,1
17,1
18,0
19,0
20,1
21,1
22,0
23,1
24,0
25,1
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,0
34,1
35,0
36,1
37,1
38,1
39,0
40,1
41,0
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,1
71,1
72,1
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,0
81,1
82,1
83,1
84,0
85,0
86,1
87,1
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,0
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,1
112,0
113,1
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,1
122,1
123,0
124,1
125,0
126,1
127,1
128,0
129,0
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,0
147,1
148,1
149,1
150,0
151,0
152,0
153,1
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,1
164,1
165,1
166,0
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,0
175,0
176,1
177,0
178,0
179,0
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,0
188,0
189,1
190,1
191,0
192,0
193,1
194,1
195,0
196,1
197,0
198,0
199,0
200,0
201,1
202,1
203,0
204,1
205,1
206,0
207,1
208,0
209,0
210,1
211,1
212,0
213,0
214,0
215,1
216,1
217,0
218,1
219,0
220,0
221,1
222,1
223,1
224,0
225,1
226,0
227,0
228,1
229,1
230,1
231,1
232,1
233,0
234,1
235,1
236,1
237,0
238,1
239,0
240,0
241,1
242,1
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,1
264,1
265,1
266,1
267,0
268,0
269,0
270,1
271,0
272,0
273,1
274,1
275,0
276,0
277,0
278,1
279,1
280,1
281,0
282,1
283,0
284,0
285,1
286,1
287,1
288,1
289,1
290,1
291,0
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,0
302,1
303,1
304,1
305,0
306,0
307,0
308,0
309,1
310,0
311,0
312,1
313,0
314,1
315,1
316,0
317,1
318,0
319,1
320,1
321,1
322,0
323,1
324,0
325,0
326,1
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,1
352,0
353,0
354,0
355,0
356,1
357,1
358,1
359,1
360,0
361,1
362,1
363,1
364,0
365,1
366,1
367,0
368,0
369,0
370,0
371,0
372,1
373,0
374,0
375,1
376,0
377,0
378,1
379,1
380,0
381,0
382,0
383,1
384,0
385,0
386,0
387,1
388,0
389,1
390,1
391,1
392,0
393,1
394,0
395,1
396,0
397,1
398,1
399,1
400,1
401,0
402,1
403,0
404,1
405,0
406,1
407,0
408,0
409,1
410,1
411,1
412,1
413,0
414,1
415,1
