glyph,pos,time,confidence
⟦ DIR | WinMaze → Prioritize ⟧,"[6, 10, 4]",2025-07-08T20:39:03.053014,0.71
⟦ SEN | Vision → Execute ⟧,"[9, 3, 1]",2025-07-08T20:39:03.053052,0.93
⟦ MEM | Boot#01 → Trigger ⟧,"[8, 5, 2]",2025-07-08T20:39:03.053071,0.71
⟦ MEM | Trade#432 → Suppress ⟧,"[9, 7, 9]",2025-07-08T20:39:03.053083,0.94
⟦ DIR | EscapeCube → Store ⟧,"[6, 1, 9]",2025-07-08T20:39:03.053095,0.78
⟦ SEN | Vision → Prioritize ⟧,"[5, 4, 5]",2025-07-08T20:39:03.053105,0.98
⟦ EMO | Frustration → Trigger ⟧,"[1, 4, 9]",2025-07-08T20:39:03.053115,0.97
⟦ MEM | Maze#12 → Reflect ⟧,"[0, 4, 2]",2025-07-08T20:39:03.053128,0.98
⟦ LAN | truth → Execute ⟧,"[7, 4, 2]",2025-07-08T20:39:03.053145,0.74
⟦ DIR | WinMaze → Store ⟧,"[2, 8, 5]",2025-07-08T20:39:03.053157,0.98
⟦ LOG | IfSuccess → Reflect ⟧,"[4, 0, 1]",2025-07-08T20:39:03.053166,0.92
⟦ EMO | Curiosity → Store ⟧,"[6, 0, 6]",2025-07-08T20:39:03.053188,0.92
⟦ MEM | Trade#432 → Reflect ⟧,"[7, 3, 2]",2025-07-08T20:39:03.053198,0.77
⟦ SEN | Sound → Reflect ⟧,"[0, 5, 4]",2025-07-08T20:39:03.053208,0.76
⟦ LOG | BranchLeft → Suppress ⟧,"[5, 9, 7]",2025-07-08T20:39:03.053218,0.78
⟦ EMO | Joy → Prioritize ⟧,"[6, 1, 9]",2025-07-08T20:39:03.053228,0.94
⟦ DIR | WinMaze → Reflect ⟧,"[3, 2, 1]",2025-07-08T20:39:03.053237,0.88
⟦ MEM | Maze#12 → Store ⟧,"[2, 1, 4]",2025-07-08T20:39:03.053247,0.87
⟦ EMO | Fear → Store ⟧,"[7, 5, 0]",2025-07-08T20:39:03.053257,0.71
⟦ DIR | EscapeCube → Prioritize ⟧,"[0, 2, 10]",2025-07-08T20:39:03.053266,0.88
⟦ SEN | Touch → Execute ⟧,"[4, 7, 3]",2025-07-08T20:39:03.053275,0.84
⟦ SEN | Touch → Reflect ⟧,"[4, 3, 3]",2025-07-08T20:39:03.053284,0.91
⟦ DIR | EscapeCube → Reflect ⟧,"[2, 6, 8]",2025-07-08T20:39:03.053294,0.85
⟦ LAN | truth → Reflect ⟧,"[6, 3, 9]",2025-07-08T20:39:03.053304,0.78
⟦ LAN | truth → Compress ⟧,"[5, 8, 7]",2025-07-08T20:39:03.053313,0.94
